"","Squad","Country","LgRk","Pts.G","GF.90","xGF.90","GA.90","xGA.90","GD.90","xGD.90"
"79","Stuttgart","GER",15,0.97,1.20588235294118,1.33235294117647,1.73529411764706,1.51470588235294,-0.529411764705882,-0.18
"80","Hertha BSC","GER",16,0.97,1.08823529411765,1.00294117647059,2.08823529411765,1.62647058823529,-1,-0.62
"81","Sampdoria","ITA",15,0.95,1.21052631578947,0.973684210526316,1.65789473684211,1.53947368421053,-0.447368421052632,-0.57
"82","Lorient","FRA",16,0.95,0.921052631578947,1.15263157894737,1.65789473684211,1.37105263157895,-0.736842105263158,-0.22
"83","Spezia","ITA",16,0.95,1.07894736842105,1.03421052631579,1.86842105263158,1.77894736842105,-0.789473684210526,-0.74
"84","Clermont Foot","FRA",17,0.95,1,1.18157894736842,1.81578947368421,1.39473684210526,-0.815789473684211,-0.21
"85","Burnley","ENG",18,0.92,0.894736842105263,1.02631578947368,1.39473684210526,1.49210526315789,-0.5,-0.47
"86","Levante","ESP",19,0.92,1.34210526315789,1.48684210526316,2,1.47894736842105,-0.657894736842105,0.01
"87","Saint-Étienne","FRA",18,0.84,1.10526315789474,1.07894736842105,2.02631578947368,1.61052631578947,-0.921052631578947,-0.53
"88","Arminia","GER",17,0.82,0.794117647058823,0.829411764705882,1.55882352941176,1.83235294117647,-0.764705882352941,-1
"89","Alavés","ESP",20,0.82,0.815789473684211,0.971052631578947,1.71052631578947,1.54473684210526,-0.894736842105263,-0.57
"90","Metz","FRA",19,0.82,0.921052631578947,0.794736842105263,1.81578947368421,1.67894736842105,-0.894736842105263,-0.88
"91","Bordeaux","FRA",20,0.82,1.36842105263158,1.17894736842105,2.39473684210526,1.83157894736842,-1.02631578947368,-0.65
"92","Salernitana","ITA",17,0.82,0.868421052631579,0.992105263157895,2.05263157894737,1.73421052631579,-1.18421052631579,-0.74
"93","Cagliari","ITA",18,0.79,0.894736842105263,1.03947368421053,1.78947368421053,1.61842105263158,-0.894736842105263,-0.58
"94","Genoa","ITA",19,0.74,0.710526315789474,0.994736842105263,1.57894736842105,1.35789473684211,-0.868421052631579,-0.36
"95","Venezia","ITA",20,0.71,0.894736842105263,0.95,1.81578947368421,1.91052631578947,-0.921052631578947,-0.96
"96","Watford","ENG",19,0.61,0.894736842105263,1.02105263157895,2.02631578947368,1.75263157894737,-1.13157894736842,-0.73
"97","Norwich City","ENG",20,0.58,0.605263157894737,0.876315789473684,2.21052631578947,2.02631578947368,-1.60526315789474,-1.15
"98","Greuther Fürth","GER",18,0.53,0.823529411764706,0.902941176470588,2.41176470588235,1.77352941176471,-1.58823529411765,-0.87
